"","AAPL","AXP","BA","CAT","CSCO","CVX","DD","DIS","GE","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PFE","PG","TRV","UNH","UTX","V","VZ","WMT","XOM"
"2008-03-20","0.000233542771798602","0.000703424777159285","0.000152225636371202","0.000399638611500386","0.000285456095877864","0.000410280236762708","0.000327802282105867","0.000138271806714235","0.000455771424155222","0.000723001112701566","0.000432603251160152","8.39236447932851e-05","0.000317134122989042","3.65870184808298e-05","0.000636821013778008","0.00012365708441575","8.91695721262628e-05","0.000211440304668649","0.000479299854702179","0.000224968088168943","0.000373369702886747","5.30584114821144e-05","7.38638274471512e-05","0.000309961326806334","0.000250893089908541","0.000135457978334465","0.0018409375355731","0.000247929438388407","0.000233661228093006","0.000450563050046692"
"2008-03-24","0.000528359248653483","0.000867660635236153","0.000159867918253305","0.000199735068251114","0.000249548008955266","0.000217586221566415","0.000435569966247393","8.66451204464548e-05","0.000174787400819428","0.0010329078280692","0.000993616653129084","8.3201079287369e-05","0.000386250266427693","7.19765966680895e-05","0.00188108196909893","0.000111868691990288","0.000150284671474749","9.40303412761941e-05","0.000189203120994912","0.000132653973052765","0.000809723453146897","0.000155056760178347","8.90604361465865e-05","0.000248964310091095","0.000134596702214527","0.000100221399188052","0.00687005055957251","0.000351069557212483","0.000216021082592899","0.000177844300167716"
"2008-03-25","0.000434367952109358","0.000427772931824778","0.000208820440753362","0.000161340437707242","0.000255095504402185","0.000155363617466589","0.000240781710790275","7.76693886322159e-05","0.000121836550316758","0.000512764478158036","0.000527789514852903","0.000108515099864746","0.000260215331149314","2.85809666439809e-05","0.00067322358354312","7.24334973617352e-05","0.000122650866793794","9.27375971584798e-05","0.000185937454153659","0.000170879688518486","0.000254551437195259","0.000124108128059465","5.14141192591229e-05","0.000301245853749956","0.000316896254704356","0.000140511981034841","0.0017320342238683","0.00029987024076402","0.000191792241384212","0.00020450212533589"
"2008-03-26","0.000347424586129296","0.000477762105996276","6.42233715228822e-05","0.000344243811697805","0.00055713457465431","0.000152692786155729","0.000489319730224852","0.000143688317879363","0.00027089540142098","0.00049693410316448","0.000342116329948229","0.000299640777139409","0.000320395834435796","6.78305871543737e-05","0.00086395590661706","9.9036125842515e-05","0.000188894697691614","9.91603829199902e-05","0.00011448665363185","0.000194524688450777","0.000288448369146463","5.80442426191595e-05","7.80791327056629e-05","0.000261361688299102","0.000330039409435847","8.79828839423303e-05","0.00055244498247469","0.000271246521915992","0.000160528199821901","0.000161157066253534"
"2008-03-27","0.000296628082995691","0.00070163236822232","0.000148116705109188","0.000259741023599216","0.000329851680968368","0.000195878863976521","0.000212789906159172","0.000134375175571898","0.000279758483099191","0.000691242190354956","0.000326421114860716","0.000243328575894702","0.000459009900739123","3.6298731282114e-05","0.000648831596449245","6.80268971348868e-05","0.000107677551942707","0.000115304585674726","0.000234928006050707","0.000123585588947356","0.000158133586056639","0.000106300734813243","5.45264877560316e-05","0.000279082765649347","0.000262024678002866","0.000137938871230259","0.000750679835022489","0.000218115015970304","0.000109562231643211","0.000214759107197276"
"2008-03-28","0.000311624099133261","0.000347195235625743","0.000153627982735312","0.000250639077733956","0.000157897351934954","0.000236440395831346","0.000190328330703723","0.000211999404808526","0.00010883231561782","0.000579178379290411","0.000375562144956137","0.000160027853282087","0.000262418748359698","4.78756959429479e-05","0.000538758551094487","5.02689187027333e-05","7.83774637577842e-05","0.000141412484935807","0.000311177811201369","0.000153205969011512","0.000170305054968397","5.87593386445642e-05","6.29694597168457e-05","0.000129284460275845","0.000270622064829021","0.000173616590733736","0.000242575827357446","0.000161558269639336","0.000143296655492511","0.000151374055030842"
"2008-03-31","0.000213516534530625","0.000444168852324024","0.00023301935535563","0.000185081909072261","0.000255020334665151","0.000192420724209327","0.000165943338208237","0.000114916648378712","0.000174909213161068","0.000527675238381928","0.000536627300252582","0.000151485839385193","0.000270726215415477","8.021923049617e-05","0.000771423129075394","2.94699817285021e-05","6.40472808402939e-05","0.000118277223208986","0.0207080312601953","0.000148013279333635","0.000449385729379938","0.000155312668432948","4.72590972160805e-05","0.000217226263706087","0.00027995991950777","0.000118184421647691","0.000179242231159781","0.000200139119346928","0.000124388294573865","0.000208189323103153"
"2008-04-01","0.00056131024351605","0.00136707576157827","0.000194583639058706","0.00024687852276703","0.000435082735435657","0.000170779952362108","0.000212870323531032","0.000170815723567072","0.00046231787098118","0.00179679272617226","0.000382396567921203","0.000224050465525644","0.000460855740861936","9.63514672671723e-05","0.00296555620294945","3.19045311291669e-05","0.000106278504530657","0.000221248582927304","0.000319989969255565","0.000353525690185807","0.000237106444239108","0.00023018045430709","9.81857194199064e-05","0.000782243348741413","0.000473610642286257","0.000191896034016866","0.000598531273678023","0.00104752773790044","0.000253956482760537","0.000200379821545176"
"2008-04-02","0.000372366839229988","0.000683330347200202","8.20029149719386e-05","0.000178216062865737","0.000306791275040363","0.000265130764583865","0.000244932539549996","0.00016006376011365","0.000181331582382738","0.000414251316270499","0.000313781126345811","0.000169818629171442","0.000172647836397115","4.68384288520881e-05","0.000803919298579592","0.000206256551976867","9.10390991417606e-05","0.000104699546067295","0.000161841883150146","0.000142943557959982","0.000270788509438808","0.00015326513772943","5.01592832345398e-05","0.000539270822484076","0.000469219991118972","0.000196213054890608","0.000390196323817823","0.000141729981300077","9.86492548437135e-05","0.000157418045938681"
"2008-04-03","0.000401981722590898","0.000726318906075113","0.000129965139501816","0.000276416372089904","0.00154539432264978","0.000198497637402219","0.000296112563997624","0.000211226474246047","0.000177694021868845","0.000824505857049824","0.000279846719693327","0.000168786120405035","0.000307055725999156","0.000139380054360935","0.000985443402026523","4.63128071700078e-05","0.00012542012223748","0.000110540900397032","0.000284196963279732","0.000183179610092333","0.000250667864527588","0.000114852205659612","5.77244543076254e-05","0.000222504556622339","0.000360774557309933","9.67576195487328e-05","0.000914486284439368","0.000281425193606223","0.000164403115694545","0.000116513004807593"
"2008-04-04","0.000366472668925709","0.000419515613383539","0.000140713879049078","0.000131017341050899","0.000211319116484176","8.83131369579492e-05","0.000162663638590043","7.91597443059881e-05","0.000145954087711504","0.000266420422365346","0.000362898408272154","0.000229114669053751","0.000165239663496405","4.44461842704109e-05","0.000454389918028991","4.92260522372811e-05","9.3189690235455e-05","0.00013064044352805","0.00041253554245248","0.000148127199144948","0.00046173663817974","9.69757212012379e-05","4.53662767358618e-05","0.000163890981083626","0.000138133529090965","0.000169854088689423","0.000624807431671176","0.000100233116920955","9.23209758324212e-05","9.73372295692971e-05"
"2008-04-07","0.000598044199089885","0.000190570914382601","0.000198763895583607","0.000155085136437814","0.00025071498629547","0.000123880578102361","0.000309378018225372","0.000111318250072317","0.000139402491104748","0.000516782368852835","0.000423746681153344","8.45890983217397e-05","0.000115925994506614","2.31119908415453e-05","0.000578517642466745","2.85352192981057e-05","9.15822248624453e-05","0.000115945117470173","0.000621717153926701","0.000356583849137277","0.000217635093911683","0.000105581501888107","6.52704202950232e-05","0.000163225505872969","0.000281086427235072","0.000137199166621317","0.000618616787771077","0.000124487638150036","0.000105304274432473","0.000155348751481181"
"2008-04-08","0.000556191499270482","0.000221344598822517","0.000158119938557435","0.000121376016180018","0.00015210478397171","0.000155600300935919","0.000167322438939457","0.000110025230786264","0.000135634955856397","0.000216028584732282","0.000225653260848627","8.6629770266661e-05","0.000394560677439867","4.04043384302687e-05","0.000279824382254753","8.80534727830497e-05","5.42735449233498e-05","0.000135140928319303","0.000299240591071023","0.000123125307690828","0.000228292524741993","0.00014703946831268","2.13346950184144e-05","0.000125560270522303","0.000832125831757045","0.000108603154669942","0.000735823606321646","0.000174421267696204","8.80692141734702e-05","0.000165621464596831"
